method,experiment_type,experiment_variant,dataset_direction,model,brier_before,brier_after,ece_before,ece_after,mce_before,mce_after,brier_delta,ece_delta,mce_delta,experiment_id,n,brier_win,ece_win,mce_win,all_win,any_degrade,outcome,failure_category,model_family
platt,external_kaggle_uci,cfs_plus_chol,kaggle__to__cleveland,lr,0.286073,0.236899,0.249037,0.080546,0.331031,0.125627,-0.049174,-0.168491,-0.205404,external_kaggle_uci__cfs_plus_chol__kaggle__to__cleveland__lr.json,1,True,True,True,True,False,improved,success,linear
platt,external_kaggle_uci,cfs_plus_chol,kaggle__to__cleveland,rf,0.296580,0.243305,0.241266,0.050258,0.408238,0.063576,-0.053275,-0.191008,-0.344662,external_kaggle_uci__cfs_plus_chol__kaggle__to__cleveland__rf.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs_plus_chol,kaggle__to__cleveland,xgb,0.296018,0.242519,0.232608,0.025163,0.707220,0.042235,-0.053499,-0.207444,-0.664985,external_kaggle_uci__cfs_plus_chol__kaggle__to__cleveland__xgb.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs_plus_chol,kaggle__to__hungary,lgbm,0.319907,0.225976,0.278971,0.059443,0.459126,0.078720,-0.093931,-0.219528,-0.380406,external_kaggle_uci__cfs_plus_chol__kaggle__to__hungary__lgbm.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs_plus_chol,kaggle__to__hungary,lr,0.299789,0.222646,0.274652,0.041726,0.440223,0.048912,-0.077143,-0.232927,-0.391311,external_kaggle_uci__cfs_plus_chol__kaggle__to__hungary__lr.json,1,True,True,True,True,False,improved,success,linear
platt,external_kaggle_uci,cfs_plus_chol,kaggle__to__hungary,rf,0.315596,0.226135,0.287988,0.060602,0.440638,0.083323,-0.089461,-0.227386,-0.357315,external_kaggle_uci__cfs_plus_chol__kaggle__to__hungary__rf.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs_plus_chol,kaggle__to__hungary,xgb,0.318207,0.225555,0.284318,0.056889,0.570780,0.092240,-0.092652,-0.227429,-0.478540,external_kaggle_uci__cfs_plus_chol__kaggle__to__hungary__xgb.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs_plus_chol,kaggle__to__switzerland,lgbm,0.307243,0.075245,0.390332,0.031836,0.963850,0.031836,-0.231998,-0.358496,-0.932014,external_kaggle_uci__cfs_plus_chol__kaggle__to__switzerland__lgbm.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs_plus_chol,kaggle__to__switzerland,lr,0.292223,0.075122,0.390751,0.031626,0.833126,0.031626,-0.217101,-0.359125,-0.801500,external_kaggle_uci__cfs_plus_chol__kaggle__to__switzerland__lr.json,1,True,True,True,True,False,improved,success,linear
platt,external_kaggle_uci,cfs_plus_chol,kaggle__to__switzerland,rf,0.278399,0.075238,0.374242,0.031721,0.839650,0.031721,-0.203161,-0.342521,-0.807929,external_kaggle_uci__cfs_plus_chol__kaggle__to__switzerland__rf.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs_plus_chol,kaggle__to__switzerland,xgb,0.291270,0.075198,0.373230,0.031860,0.952957,0.031860,-0.216072,-0.341370,-0.921097,external_kaggle_uci__cfs_plus_chol__kaggle__to__switzerland__xgb.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs_plus_chol,kaggle__to__va,lgbm,0.235415,0.261134,0.145851,0.188547,0.349898,0.188547,0.025719,0.042695,-0.161351,external_kaggle_uci__cfs_plus_chol__kaggle__to__va__lgbm.json,1,False,False,True,False,True,degraded,brier_degraded|ece_degraded,tree
platt,external_kaggle_uci,cfs_plus_chol,kaggle__to__va,lr,0.218079,0.260477,0.092142,0.188344,0.878821,0.188344,0.042398,0.096202,-0.690478,external_kaggle_uci__cfs_plus_chol__kaggle__to__va__lr.json,1,False,False,True,False,True,degraded,brier_degraded|ece_degraded|ece_severe,linear
platt,external_kaggle_uci,cfs_plus_chol,kaggle__to__va,rf,0.225173,0.261972,0.092586,0.188946,0.445350,0.188946,0.036799,0.096360,-0.256404,external_kaggle_uci__cfs_plus_chol__kaggle__to__va__rf.json,1,False,False,True,False,True,degraded,brier_degraded|ece_degraded|ece_severe,tree
platt,external_kaggle_uci,cfs_plus_chol,kaggle__to__va,xgb,0.258960,0.263467,0.177023,0.189782,0.841291,0.189782,0.004507,0.012759,-0.651509,external_kaggle_uci__cfs_plus_chol__kaggle__to__va__xgb.json,1,False,False,True,False,True,neutral,ece_degraded,tree
platt,external_kaggle_uci,cfs_plus_chol,switzerland__to__kaggle,lgbm,0.460067,0.246816,0.461263,0.014332,0.481517,0.203180,-0.213251,-0.446932,-0.278338,external_kaggle_uci__cfs_plus_chol__switzerland__to__kaggle__lgbm.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs_plus_chol,switzerland__to__kaggle,lr,0.455599,0.246279,0.455198,0.032158,0.455198,0.351318,-0.209320,-0.423040,-0.103880,external_kaggle_uci__cfs_plus_chol__switzerland__to__kaggle__lr.json,1,True,True,True,True,False,improved,success,linear
platt,external_kaggle_uci,cfs_plus_chol,switzerland__to__kaggle,rf,0.249518,0.236920,0.102259,0.020478,0.306490,0.094658,-0.012597,-0.081781,-0.211832,external_kaggle_uci__cfs_plus_chol__switzerland__to__kaggle__rf.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs_plus_chol,switzerland__to__kaggle,xgb,0.461902,0.249611,0.458185,0.031115,0.524851,0.232646,-0.212290,-0.427070,-0.292206,external_kaggle_uci__cfs_plus_chol__switzerland__to__kaggle__xgb.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs_plus_chol,va__to__kaggle,lgbm,0.295106,0.243968,0.231051,0.040431,0.316317,0.231433,-0.051138,-0.190620,-0.084884,external_kaggle_uci__cfs_plus_chol__va__to__kaggle__lgbm.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs_plus_chol,va__to__kaggle,lr,0.241641,0.238361,0.083871,0.060538,0.163379,0.295971,-0.003280,-0.023333,0.132591,external_kaggle_uci__cfs_plus_chol__va__to__kaggle__lr.json,1,True,True,False,False,True,neutral,mce_degraded|mce_severe,linear
platt,external_kaggle_uci,cfs_plus_chol,va__to__kaggle,rf,0.237730,0.237736,0.087004,0.073860,0.231052,0.204464,0.000006,-0.013144,-0.026588,external_kaggle_uci__cfs_plus_chol__va__to__kaggle__rf.json,1,False,True,True,False,True,improved,success,tree
platt,external_kaggle_uci,cfs_plus_chol,va__to__kaggle,xgb,0.293948,0.241970,0.227110,0.044654,0.294123,0.298262,-0.051977,-0.182455,0.004139,external_kaggle_uci__cfs_plus_chol__va__to__kaggle__xgb.json,1,True,True,False,False,True,improved,success,tree
platt,external_kaggle_uci,cfs,cleveland+hungary+switzerland+va__to__kaggle,lgbm,0.262292,0.240159,0.159188,0.078196,0.477162,0.116517,-0.022134,-0.080992,-0.360645,external_kaggle_uci__cfs__cleveland+hungary+switzerland+va__to__kaggle__lgbm.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs,cleveland+hungary+switzerland+va__to__kaggle,lr,0.272979,0.244765,0.178726,0.063663,0.303414,0.216368,-0.028214,-0.115063,-0.087046,external_kaggle_uci__cfs__cleveland+hungary+switzerland+va__to__kaggle__lr.json,1,True,True,True,True,False,improved,success,linear
platt,external_kaggle_uci,cfs,cleveland+hungary+switzerland+va__to__kaggle,rf,0.261179,0.237382,0.142096,0.050382,0.551274,0.073837,-0.023798,-0.091714,-0.477437,external_kaggle_uci__cfs__cleveland+hungary+switzerland+va__to__kaggle__rf.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs,cleveland+hungary+switzerland+va__to__kaggle,xgb,0.260731,0.238640,0.156978,0.055888,0.385051,0.160587,-0.022091,-0.101090,-0.224465,external_kaggle_uci__cfs__cleveland+hungary+switzerland+va__to__kaggle__xgb.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs,cleveland__to__kaggle,lgbm,0.279759,0.237863,0.181060,0.082250,0.587716,0.147860,-0.041897,-0.098810,-0.439856,external_kaggle_uci__cfs__cleveland__to__kaggle__lgbm.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs,cleveland__to__kaggle,lr,0.265364,0.238815,0.160297,0.088932,0.265989,0.191231,-0.026549,-0.071365,-0.074758,external_kaggle_uci__cfs__cleveland__to__kaggle__lr.json,1,True,True,True,True,False,improved,success,linear
platt,external_kaggle_uci,cfs,cleveland__to__kaggle,rf,0.253874,0.234989,0.130683,0.051406,0.431318,0.094522,-0.018886,-0.079278,-0.336795,external_kaggle_uci__cfs__cleveland__to__kaggle__rf.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs,cleveland__to__kaggle,xgb,0.268025,0.236980,0.158559,0.023457,0.312496,0.050084,-0.031045,-0.135102,-0.262412,external_kaggle_uci__cfs__cleveland__to__kaggle__xgb.json,1,True,True,True,True,False,improved,success,tree
