feature,type,test,statistic,p_value,psi,train_miss_pct,test_miss_pct,diff_pct
age,continuous,ks,0.083877,0.535431,0.111935,0.000000,0.000000,0.000000
sex,categorical,chi2,25.277087,0.000000,0.000000,0.000000,0.000000,0.000000
cp,categorical,chi2,38.305173,0.000000,0.501218,0.000000,0.000000,0.000000
trestbps,continuous,ks,0.158961,0.022437,0.264174,1.600000,0.000000,-1.600000
exang,categorical,chi2,4.579679,0.032353,0.000000,0.800000,0.000000,-0.800000
oldpeak,continuous,ks,0.126259,0.122416,1.173885,4.900000,0.000000,-4.900000
