feature,type,test,statistic,p_value,psi,train_miss_pct,test_miss_pct,diff_pct
age,continuous,ks,0.435211,0.000000,2.125741,0.000000,0.000000,0.000000
sex,categorical,chi2,10.286107,0.001340,0.000000,0.000000,0.000000,0.000000
cp,categorical,chi2,83.006044,0.000000,0.386139,0.000000,0.000000,0.000000
trestbps,continuous,ks,0.078270,0.175054,0.188279,9.300000,0.300000,-8.900000
chol,continuous,ks,0.098790,0.060021,0.299709,20.800000,7.800000,-12.900000
thalach,continuous,ks,0.727062,0.000000,9.215261,16.500000,0.700000,-15.800000
exang,categorical,chi2,13.188810,0.000282,0.000000,8.600000,0.300000,-8.300000
oldpeak,continuous,ks,0.300659,0.000000,1.456696,9.900000,0.000000,-9.900000
