feature,type,test,statistic,p_value,psi,train_miss_pct,test_miss_pct,diff_pct
age,continuous,ks,0.387222,0.000000,0.795367,0.000000,0.000000,0.000000
sex,categorical,chi2,48.861201,0.000000,0.000000,0.000000,0.000000,0.000000
cp,categorical,chi2,26.254281,0.000008,0.213220,0.000000,0.000000,0.000000
trestbps,continuous,ks,0.092108,0.243267,0.026856,0.400000,28.000000,27.600000
chol,continuous,ks,0.262055,0.000000,0.106454,20.300000,3.500000,-16.800000
thalach,continuous,ks,0.562874,0.000000,6.470475,7.200000,26.500000,19.300000
exang,categorical,chi2,47.765756,0.000000,0.000000,0.300000,26.500000,26.200000
oldpeak,continuous,ks,0.265931,0.000000,0.287692,0.800000,28.000000,27.200000
