feature,type,test,statistic,p_value,psi,train_miss_pct,test_miss_pct,diff_pct
age,continuous,ks,0.095817,0.044060,0.100860,0.000000,0.000000,0.000000
sex,categorical,chi2,31.441719,0.000000,0.000000,0.000000,0.000000,0.000000
cp,categorical,chi2,18.728807,0.000311,0.034569,0.000000,0.000000,0.000000
trestbps,continuous,ks,0.058288,0.493860,0.066798,9.600000,0.000000,-9.600000
chol,continuous,ks,0.139674,0.001368,0.171805,24.800000,0.000000,-24.800000
thalach,continuous,ks,0.926722,0.000000,11.120957,17.000000,0.000000,-17.000000
exang,categorical,chi2,7.348041,0.006714,0.000000,8.900000,0.000000,-8.900000
oldpeak,continuous,ks,0.183177,0.000003,0.222187,10.000000,0.000000,-10.000000
