feature,type,test,statistic,p_value,psi,train_miss_pct,test_miss_pct,diff_pct
age,continuous,ks,0.406587,0.000000,0.762496,0.000000,0.000000,0.000000
sex,categorical,chi2,18.050640,0.000022,0.000000,0.000000,0.000000,0.000000
cp,categorical,chi2,59.910400,0.000000,0.936373,0.000000,0.000000,0.000000
trestbps,continuous,ks,0.200886,0.001640,0.432560,0.300000,1.600000,1.300000
exang,categorical,chi2,6.752906,0.009360,0.000000,0.300000,0.800000,0.500000
oldpeak,continuous,ks,0.189866,0.004014,0.055631,0.000000,4.900000,4.900000
