feature,type,test,statistic,p_value,psi,train_miss_pct,test_miss_pct,diff_pct
age,continuous,ks,0.131754,0.044630,0.136022,0.000000,0.000000,0.000000
sex,categorical,chi2,13.439560,0.000246,0.000000,0.000000,0.000000,0.000000
cp,categorical,chi2,41.225509,0.000000,0.398386,0.000000,0.000000,0.000000
trestbps,continuous,ks,0.183281,0.001560,0.467474,7.200000,1.600000,-5.500000
exang,categorical,chi2,1.429855,0.231788,0.000000,6.800000,0.800000,-6.000000
oldpeak,continuous,ks,0.092668,0.330550,0.102028,7.000000,4.900000,-2.100000
