feature,type,test,statistic,p_value,psi,train_miss_pct,test_miss_pct,diff_pct
age,continuous,ks,0.355392,0.000000,0.956767,0.000000,0.000000,0.000000
sex,categorical,chi2,1.214561,0.270431,0.000000,0.000000,0.000000,0.000000
cp,categorical,chi2,33.175691,0.000000,0.216447,0.000000,0.000000,0.000000
trestbps,continuous,ks,0.062233,0.580322,0.296158,0.000000,0.300000,0.300000
chol,continuous,ks,0.059089,0.669852,0.031534,0.000000,7.800000,7.800000
thalach,continuous,ks,1.000000,0.000000,11.514243,0.000000,0.700000,0.700000
exang,categorical,chi2,0.265592,0.606304,0.000000,0.000000,0.300000,0.300000
oldpeak,continuous,ks,0.316124,0.000000,1.150878,0.000000,0.000000,0.000000
