train_sites,test_site,model,experiment_type,mean_psi,prevalence_diff,c2st_auc
kaggle,va,lgbm,external_kaggle_uci,0.199105,0.250325,0.926675
kaggle,va,lr,external_kaggle_uci,0.199105,0.250325,0.926675
kaggle,va,rf,external_kaggle_uci,0.199105,0.250325,0.926675
kaggle,va,xgb,external_kaggle_uci,0.199105,0.250325,0.926675
switzerland,kaggle,lgbm,external_kaggle_uci,0.930826,0.440285,0.846903
switzerland,kaggle,lr,external_kaggle_uci,0.930826,0.440285,0.846903
switzerland,kaggle,rf,external_kaggle_uci,0.930826,0.440285,0.846903
switzerland,kaggle,xgb,external_kaggle_uci,0.930826,0.440285,0.846903
va,kaggle,lgbm,external_kaggle_uci,1.317513,0.250325,0.922212
va,kaggle,lr,external_kaggle_uci,1.317513,0.250325,0.922212
va,kaggle,rf,external_kaggle_uci,1.317513,0.250325,0.922212
va,kaggle,xgb,external_kaggle_uci,1.317513,0.250325,0.922212
