,mean_psi,prevalence_diff,c2st_auc,auc_drop,brier_change
mean_psi,1.0000,-0.1295,0.7344,-0.1930,-0.0679
prevalence_diff,-0.1295,1.0000,-0.4011,0.1120,0.3586
c2st_auc,0.7344,-0.4011,1.0000,-0.1086,-0.1949
auc_drop,-0.1930,0.1120,-0.1086,1.0000,-0.4218
brier_change,-0.0679,0.3586,-0.1949,-0.4218,1.0000
