feature,type,test,statistic,p_value,psi,train_miss_pct,test_miss_pct,diff_pct
age,continuous,ks,0.215244,0.001399,0.292446,0.000000,0.000000,0.000000
sex,categorical,chi2,3.237346,0.071977,0.000000,0.000000,0.000000,0.000000
cp,categorical,chi2,7.793726,0.050473,0.032497,0.000000,0.000000,0.000000
trestbps,continuous,ks,0.198634,0.009187,0.502945,28.000000,1.600000,-26.400000
exang,categorical,chi2,10.379485,0.001274,0.000000,26.500000,0.800000,-25.700000
oldpeak,continuous,ks,0.258013,0.000281,0.370738,28.000000,4.900000,-23.100000
