,site,model,full_auc,cfs_auc,auc_drop,cfs_relative_drop_pct
124,cleveland,lgbm,0.9469696969696969,0.7067099567099567,0.24025974025974017,25.371428571428563
125,cleveland,lr,0.9632034632034632,0.7132034632034632,0.25,25.955056179775283
126,cleveland,rf,0.9696969696969697,0.7034632034632035,0.26623376623376627,27.455357142857146
127,cleveland,xgb,0.948051948051948,0.7164502164502164,0.2316017316017316,24.429223744292237
128,cleveland+hungary+switzerland+va,lgbm,,0.7060019129603061,,
129,cleveland+hungary+switzerland+va,lr,,0.7068388330942132,,
130,cleveland+hungary+switzerland+va,rf,,0.7136537541846006,,
131,cleveland+hungary+switzerland+va,xgb,,0.6909971305595409,,
132,hungary,lgbm,0.9016290726817042,0.6253132832080199,0.2763157894736843,30.64628214037527
133,hungary,lr,0.8721804511278195,0.5964912280701755,0.275689223057644,31.60919540229884
134,hungary,rf,0.8834586466165414,0.6159147869674185,0.26754385964912286,30.283687943262414
135,hungary,xgb,0.9035087719298246,0.6083959899749374,0.2951127819548872,32.6629680998613
136,kaggle,lgbm,0.7971238419064719,0.7797138429227147,0.01740999898375717,2.1841021518209613
137,kaggle,lr,0.7851634457410952,0.7705746536305279,0.014588792110567295,1.8580579864867903
138,kaggle,rf,0.7960059640758118,0.7778137967683474,0.018192167307464424,2.285431030480545
139,kaggle,xgb,0.7962479675141004,0.7796512592943886,0.01659670821971182,2.0843642805804605
140,switzerland,lgbm,0.696086956521739,0.5634782608695652,0.1326086956521738,19.05059337913803
141,switzerland,lr,0.7243478260869565,0.35608695652173905,0.3682608695652174,50.84033613445379
142,switzerland,rf,0.7217391304347827,0.3843478260869565,0.33739130434782616,46.746987951807235
143,switzerland,xgb,0.758695652173913,0.5113043478260869,0.24739130434782608,32.60744985673353
144,va,lgbm,0.6466666666666667,0.5950000000000001,0.05166666666666664,7.98969072164948
145,va,lr,0.8233333333333333,0.7916666666666667,0.03166666666666651,3.8461538461538276
146,va,rf,0.6666666666666667,0.6733333333333333,-0.006666666666666599,-0.9999999999999896
147,va,xgb,0.6933333333333334,0.6649999999999999,0.028333333333333433,4.086538461538476
