test_site,lgbm,lr,rf,xgb
cleveland,0.9877717391304348,1.0,0.9978361093541359,0.987903391421698
cleveland+hungary+switzerland+va,0.778192965210065,0.776954478884117,0.7857543216153338,0.7660573996196498
hungary,0.9679110888541462,0.9510992661321609,0.9608873011046923,0.9683328173374613
kaggle,0.8038293437136368,0.7923549204190414,0.802762266839408,0.8030262690266541
va,0.8683389191453705,0.9673080357142856,0.8880978382616487,0.9141424005681816
