train_sites,cleveland,cleveland+hungary+switzerland+va,hungary,kaggle,switzerland,va
cleveland,,,0.884,0.643,0.771,0.73
cleveland+hungary+switzerland,,,,,,0.698
cleveland+hungary+switzerland+va,,,,0.632,,
cleveland+hungary+va,,,,,0.761,
cleveland+va+switzerland,,,0.849,,,
hungary,0.85,,,0.608,0.732,0.705
hungary+va+switzerland,0.863,,,,,
kaggle,0.586,0.59,0.59,,0.541,0.528
switzerland,0.763,,0.766,0.586,,0.605
va,0.815,,0.86,0.642,0.702,
