test_site,lgbm,lr,rf,xgb
cleveland,0.8875829024141382,0.9127813110397416,0.9283263305322128,0.8916901709401709
cleveland+hungary+switzerland+va,0.6353109975961538,0.6337247977712113,0.6411225225824978,0.6199032555282555
hungary,0.8069574175824176,0.7618910256410257,0.7804242081447964,0.8136795665634675
kaggle,0.7892411676436205,0.7765808461094081,0.7883156370704655,0.7882349961354529
va,0.3882525481630824,0.6462291666666666,0.3859641335227273,0.4281015625
