,experiment_type,variant,train_sites,test_site,model,n_train,n_test,n_features_used,features_used,best_params,results_path,roc_auc,pr_auc,brier_score,accuracy,f1,precision,recall,specificity,prevalence,ece,mce,roc_auc_ci_lower,roc_auc_ci_upper,pr_auc_ci_lower,pr_auc_ci_upper,brier_score_ci_lower,brier_score_ci_upper,accuracy_ci_lower,accuracy_ci_upper,ece_ci_lower,ece_ci_upper,cfs_full_auc,cfs_cfs_auc,cfs_auc_drop,cfs_relative_drop_pct,internal_auc,auc_delta
0,external_kaggle_uci,cfs,cleveland,kaggle,lgbm,303.0,68726,3,"['age', 'sex', 'sys_bp']","{'num_leaves': 15, 'max_depth': 3, 'learning_rate': 0.01}",outputs\runs\20260301T225358_93bf3a3395d35eb1\external_kaggle_uci\cfs\cleveland__to__kaggle\lgbm\results.json,0.6348076147591171,0.6035930838518487,0.2801805136481167,0.582268719261997,0.4421862552703674,0.6513451631368059,0.33470600347089446,0.8246134354573987,0.49467450455431716,0.1809175505776853,0.5822001504104197,0.6306151612967563,0.6388886804125001,0.5980067423436176,0.6093232938427022,0.27825817543792913,0.2819966028337348,0.5785292320228153,0.5863083112650235,0.17723862325466624,0.18442781778143513,,,,,0.7971238419064719,-0.16231622714735483
1,external_kaggle_uci,cfs,cleveland,kaggle,lr,303.0,68726,3,"['age', 'sex', 'sys_bp']",{'C': 0.1},outputs\runs\20260301T225358_93bf3a3395d35eb1\external_kaggle_uci\cfs\cleveland__to__kaggle\lr\results.json,0.6381552609720769,0.6188310747248228,0.2650077956317439,0.5555393882955505,0.3693273320394764,0.6195192907113666,0.26308203665029267,0.8418324743010165,0.49467450455431716,0.16016698184635314,0.2654365959511805,0.6339164126381505,0.6421757558735185,0.6131829976489207,0.6242751244935334,0.2634977958575663,0.2665489101443946,0.5518788377033437,0.5592865145650846,0.15658660839167737,0.1638965746138018,,,,,0.7851634457410952,-0.14700818476901834
2,external_kaggle_uci,cfs,cleveland,kaggle,rf,303.0,68726,3,"['age', 'sex', 'sys_bp']","{'max_depth': 5, 'min_samples_leaf': 10}",outputs\runs\20260301T225358_93bf3a3395d35eb1\external_kaggle_uci\cfs\cleveland__to__kaggle\rf\results.json,0.6451144348236013,0.607542400693177,0.2539350353926415,0.5972266682187236,0.48639020317283604,0.658709418031963,0.3855340177074448,0.8044573699213914,0.49467450455431716,0.12995853163107457,0.4349764951965197,0.6409541673696595,0.649024973994075,0.6017692861618639,0.6135084343668193,0.2523733910319777,0.25553359090678995,0.5936617873875971,0.6010465471582808,0.1262202306585397,0.1337638472068076,,,,,0.7960059640758118,-0.1508915292522105
3,external_kaggle_uci,cfs,cleveland,kaggle,xgb,303.0,68726,3,"['age', 'sex', 'sys_bp']","{'subsample': 0.8, 'max_depth': 3, 'learning_rate': 0.01}",outputs\runs\20260301T225358_93bf3a3395d35eb1\external_kaggle_uci\cfs\cleveland__to__kaggle\xgb\results.json,0.6425863015305039,0.6081154306600334,0.2684559226036072,0.5724325582748887,0.43172368446498677,0.6301942186088527,0.3283230873312351,0.8113968153416453,0.49467450455431716,0.15625260166282467,0.3094467367208174,0.6384542487945664,0.6465508386208989,0.6025333279260173,0.6135285742419937,0.26664154455065725,0.27030753120779993,0.5688051101475424,0.5762233361464366,0.15267466571074093,0.1601124990148612,,,,,0.7962479675141004,-0.15366166598359654
4,external_kaggle_uci,cfs,cleveland+hungary+switzerland+va,kaggle,lgbm,920.0,68726,3,"['age', 'sex', 'sys_bp']","{'num_leaves': 15, 'max_depth': 3, 'learning_rate': 0.01}",outputs\runs\20260301T225358_93bf3a3395d35eb1\external_kaggle_uci\cfs\cleveland+hungary+switzerland+va__to__kaggle\lgbm\results.json,0.621915589293489,0.5950483785465599,0.26241436628347276,0.5491371533335273,0.4650207182320442,0.5629310705179116,0.3961231873400594,0.6989259696507242,0.49467450455431716,0.1599390203930966,0.4760539045317138,0.6177602503660374,0.6260443897657827,0.5891938507821943,0.6003055717293534,0.26076395771179633,0.2639323907209221,0.5455271658469866,0.5530396065535604,0.15623940235055772,0.16328798896470414,,,,,0.7971238419064719,-0.1752082526129829
5,external_kaggle_uci,cfs,cleveland+hungary+switzerland+va,kaggle,lr,920.0,68726,3,"['age', 'sex', 'sys_bp']",{'C': 10},outputs\runs\20260301T225358_93bf3a3395d35eb1\external_kaggle_uci\cfs\cleveland+hungary+switzerland+va__to__kaggle\lr\results.json,0.6033781435913419,0.5844540221106687,0.2724826856164798,0.5315310071879638,0.4028710263733818,0.5452035540384519,0.31946936494396566,0.7391229232053903,0.49467450455431716,0.17805024129091224,0.30672574934213237,0.5989777598016535,0.6075694988645344,0.5785208273783625,0.5900898725145857,0.2709168270964444,0.27398222566922237,0.5280527020341647,0.5353439746238687,0.17451568430370795,0.1814090833781126,,,,,0.7851634457410952,-0.1817853021497533
6,external_kaggle_uci,cfs,cleveland+hungary+switzerland+va,kaggle,rf,920.0,68726,3,"['age', 'sex', 'sys_bp']","{'max_depth': 5, 'min_samples_leaf': 10}",outputs\runs\20260301T225358_93bf3a3395d35eb1\external_kaggle_uci\cfs\cleveland+hungary+switzerland+va__to__kaggle\rf\results.json,0.6347720797830227,0.6068513560678739,0.26118615981235077,0.5673835229752932,0.4346238685631703,0.6147060405572589,0.3361473071153337,0.7937458608079703,0.49467450455431716,0.14230574642629487,0.37869726462402,0.6307948425726292,0.6389582026581877,0.601199345686868,0.6124732224642799,0.25959253683409844,0.2627257164665584,0.5639848819951692,0.5711666618164887,0.1387864737075683,0.14631448192011154,,,,,0.7960059640758118,-0.16123388429278906
7,external_kaggle_uci,cfs,cleveland+hungary+switzerland+va,kaggle,xgb,920.0,68726,3,"['age', 'sex', 'sys_bp']","{'subsample': 0.8, 'max_depth': 3, 'learning_rate': 0.01}",outputs\runs\20260301T225358_93bf3a3395d35eb1\external_kaggle_uci\cfs\cleveland+hungary+switzerland+va__to__kaggle\xgb\results.json,0.6319556639092568,0.6038080114199004,0.26033058762550354,0.5524110234845618,0.46038066836242436,0.5703233657858137,0.3859752331088037,0.7153387658729016,0.49467450455431716,0.15622086382820624,0.37755040834058795,0.6278554637954786,0.6360976448268019,0.5976516021744114,0.6090825739161846,0.25869665667414665,0.2618828147649765,0.5487712074033118,0.5564124203358263,0.15268976715637098,0.1595201679661003,,,,,0.7962479675141004,-0.1642923036048436
8,external_kaggle_uci,cfs,hungary,kaggle,lgbm,294.0,68726,3,"['age', 'sex', 'sys_bp']","{'num_leaves': 15, 'max_depth': 3, 'learning_rate': 0.01}",outputs\runs\20260301T225358_93bf3a3395d35eb1\external_kaggle_uci\cfs\hungary__to__kaggle\lgbm\results.json,0.6566361922947652,0.6390145678029759,0.29224884377086113,0.564531618310392,0.2665065437968727,0.7989713445995591,0.1599258758125717,0.9606092890667741,0.49467450455431716,0.24093041846409566,0.37025731724682814,0.6527167444203131,0.660923872883475,0.6338809878139554,0.6445660733567288,0.29027572184160216,0.2942771091422764,0.5607630300032012,0.5681914413758985,0.23723789801483167,0.2446433317150486,,,,,0.7971238419064719,-0.14048764961170668
9,external_kaggle_uci,cfs,hungary,kaggle,lr,294.0,68726,3,"['age', 'sex', 'sys_bp']",{'C': 0.001},outputs\runs\20260301T225358_93bf3a3395d35eb1\external_kaggle_uci\cfs\hungary__to__kaggle\lr\results.json,0.648797571933125,0.6300794946667045,0.2667120905431792,0.5053254954456828,0.0,0.0,0.0,1.0,0.49467450455431716,0.1390730297192867,0.1390730297192867,0.6446948171800727,0.6530143749624036,0.6245156465427072,0.6353597078135748,0.2656385288941688,0.26788563201841525,0.5012222448563862,0.5089784070075372,0.13541629484742776,0.1431425684830889,,,,,0.7851634457410952,-0.13636587380797016
