feature,type,test,statistic,p_value,psi,train_miss_pct,test_miss_pct,diff_pct
age,continuous,ks,0.592721,0.000000,1.634549,0.000000,0.000000,0.000000
sex,categorical,chi2,47.768273,0.000000,0.000000,0.000000,0.000000,0.000000
cp,categorical,chi2,55.880815,0.000000,0.588972,0.000000,0.000000,0.000000
trestbps,continuous,ks,0.104427,0.222494,0.106974,0.300000,28.000000,27.700000
chol,continuous,ks,0.253886,0.000001,0.089305,7.800000,3.500000,-4.300000
thalach,continuous,ks,0.145397,0.028153,0.060746,0.700000,26.500000,25.800000
exang,categorical,chi2,45.799497,0.000000,0.000000,0.300000,26.500000,26.200000
oldpeak,continuous,ks,0.358135,0.000000,0.508780,0.000000,28.000000,28.000000
